Track	Time	X	Y
0.000000000000000000e+00	0.000000000000000000e+00	-1.665712448072512286e+00	-3.806509005982526173e+00
0.000000000000000000e+00	2.500000000000000139e-02	-1.665767751527599261e+00	-3.815694674675964571e+00
0.000000000000000000e+00	5.000000000000000278e-02	-1.666836361247471254e+00	-3.820031846392037522e+00
0.000000000000000000e+00	7.499999999999999722e-02	-1.661598370369168798e+00	-3.822007766450182586e+00
0.000000000000000000e+00	1.000000000000000056e-01	-1.656899383882412646e+00	-3.822669687144500728e+00
0.000000000000000000e+00	1.250000000000000000e-01	-1.666005392872801805e+00	-3.822478460766335573e+00
0.000000000000000000e+00	1.499999999999999944e-01	-1.667831909049047656e+00	-3.821920334514107065e+00
0.000000000000000000e+00	1.750000000000000167e-01	-1.665242007165710136e+00	-3.821088019182530271e+00
0.000000000000000000e+00	2.000000000000000111e-01	-1.663917093410948622e+00	-3.820017622955730108e+00
0.000000000000000000e+00	2.250000000000000056e-01	-1.667995388618993102e+00	-3.818852548615159659e+00
0.000000000000000000e+00	2.500000000000000000e-01	-1.671213322090037812e+00	-3.817633806043830624e+00
0.000000000000000000e+00	2.750000000000000222e-01	-1.669340159649067346e+00	-3.816329013512568480e+00
0.000000000000000000e+00	2.999999999999999889e-01	-1.664002133775541292e+00	-3.815005383253605942e+00
0.000000000000000000e+00	3.250000000000000111e-01	-1.664983129330515288e+00	-3.813691988033538482e+00
0.000000000000000000e+00	3.500000000000000333e-01	-1.658845326636829709e+00	-3.812489955593838520e+00
0.000000000000000000e+00	3.750000000000000000e-01	-1.659297959428617020e+00	-3.811395664906640057e+00
0.000000000000000000e+00	4.000000000000000222e-01	-1.659645144648860260e+00	-3.810327264932080737e+00
0.000000000000000000e+00	4.249999999999999889e-01	-1.645451497264116769e+00	-3.809302101274226970e+00
0.000000000000000000e+00	4.500000000000000111e-01	-1.653345407649253529e+00	-3.808292129613883414e+00
0.000000000000000000e+00	4.750000000000000333e-01	-1.649282750841162937e+00	-3.807405225803275783e+00
0.000000000000000000e+00	5.000000000000000000e-01	-1.643022407536980811e+00	-3.806391639866837817e+00
0.000000000000000000e+00	5.250000000000000222e-01	-1.654633234570340061e+00	-3.805479840700912053e+00
0.000000000000000000e+00	5.500000000000000444e-01	-1.653747481120287244e+00	-3.804823447021751903e+00
0.000000000000000000e+00	5.750000000000000666e-01	-1.652001977290026957e+00	-3.804044505223709738e+00
0.000000000000000000e+00	5.999999999999999778e-01	-1.646942987732416430e+00	-3.803151203607214370e+00
0.000000000000000000e+00	6.250000000000000000e-01	-1.654698796480616796e+00	-3.802098289489748595e+00
0.000000000000000000e+00	6.500000000000000222e-01	-1.651847938677853511e+00	-3.801012562265067452e+00
0.000000000000000000e+00	6.750000000000000444e-01	-1.645264269028669180e+00	-3.799989877516800174e+00
0.000000000000000000e+00	7.000000000000000666e-01	-1.642459365687746420e+00	-3.799314751079999830e+00
0.000000000000000000e+00	7.249999999999999778e-01	-1.652782495427701281e+00	-3.798714443772154503e+00
0.000000000000000000e+00	7.500000000000000000e-01	-1.654373216833478821e+00	-3.798207157326264571e+00
0.000000000000000000e+00	7.750000000000000222e-01	-1.656108244193162049e+00	-3.797749476079399500e+00
0.000000000000000000e+00	8.000000000000000444e-01	-1.662068615930036852e+00	-3.797342504387807072e+00
0.000000000000000000e+00	8.250000000000000666e-01	-1.657403511170937316e+00	-3.797043929109371163e+00
0.000000000000000000e+00	8.499999999999999778e-01	-1.650986634134852915e+00	-3.796771924220310179e+00
0.000000000000000000e+00	8.750000000000000000e-01	-1.664149620375804162e+00	-3.796422957821226962e+00
0.000000000000000000e+00	9.000000000000000222e-01	-1.665477941687739882e+00	-3.796106158206830283e+00
0.000000000000000000e+00	9.250000000000000444e-01	-1.658164399809525902e+00	-3.795841924671228718e+00
0.000000000000000000e+00	9.500000000000000666e-01	-1.651905330273279793e+00	-3.795614302389061390e+00
0.000000000000000000e+00	9.749999999999999778e-01	-1.650892694190635668e+00	-3.795420652233530312e+00
0.000000000000000000e+00	1.000000000000000000e+00	-1.650048408551343160e+00	-3.795105813768489877e+00
0.000000000000000000e+00	1.024999999999999911e+00	-1.643645799763744586e+00	-3.794759722603345597e+00
0.000000000000000000e+00	1.050000000000000044e+00	-1.642054380933025470e+00	-3.794386589593186532e+00
0.000000000000000000e+00	1.074999999999999956e+00	-1.647904462696113681e+00	-3.793947684789921837e+00
0.000000000000000000e+00	1.100000000000000089e+00	-1.643185539096582382e+00	-3.793566043537474286e+00
0.000000000000000000e+00	1.125000000000000000e+00	-1.651925676143754629e+00	-3.793264752681493324e+00
0.000000000000000000e+00	1.150000000000000133e+00	-1.652314550558681150e+00	-3.793021572520922202e+00
0.000000000000000000e+00	1.175000000000000044e+00	-1.659869456697376844e+00	-3.792678485669005894e+00
0.000000000000000000e+00	1.199999999999999956e+00	-1.650878541026311597e+00	-3.792317551721414048e+00
0.000000000000000000e+00	1.225000000000000089e+00	-1.657102372225417009e+00	-3.791988935918989778e+00
0.000000000000000000e+00	1.250000000000000000e+00	-1.660986482668721509e+00	-3.791682223710916233e+00
0.000000000000000000e+00	1.275000000000000133e+00	-1.649030047067197025e+00	-3.791382848815649353e+00
0.000000000000000000e+00	1.300000000000000044e+00	-1.650938842976238830e+00	-3.791067170252722107e+00
0.000000000000000000e+00	1.324999999999999956e+00	-1.647048707087634956e+00	-3.790790100786647354e+00
0.000000000000000000e+00	1.350000000000000089e+00	-1.648112372576133744e+00	-3.790465495558091646e+00
0.000000000000000000e+00	1.375000000000000000e+00	-1.639772121292809137e+00	-3.790133192160789921e+00
0.000000000000000000e+00	1.400000000000000133e+00	-1.638056502304590767e+00	-3.789801208565232393e+00
