Track	Time	X	Y
0.000000000000000000e+00	0.000000000000000000e+00	-1.662257521373682545e+00	-3.769325278882266428e+00
0.000000000000000000e+00	2.500000000000000139e-02	-1.650702330816795627e+00	-3.755254984579378785e+00
0.000000000000000000e+00	5.000000000000000278e-02	-1.642987911761024877e+00	-3.739933292979809476e+00
0.000000000000000000e+00	7.499999999999999722e-02	-1.631097571740850904e+00	-3.723150827267066809e+00
0.000000000000000000e+00	1.000000000000000056e-01	-1.627392407071450720e+00	-3.705153252078264625e+00
0.000000000000000000e+00	1.250000000000000000e-01	-1.620879381141658415e+00	-3.686128220871128569e+00
0.000000000000000000e+00	1.499999999999999944e-01	-1.611126187315434111e+00	-3.666254086153729386e+00
0.000000000000000000e+00	1.750000000000000167e-01	-1.607613541800514190e+00	-3.645744124141595766e+00
0.000000000000000000e+00	2.000000000000000111e-01	-1.601707304950290789e+00	-3.624770524281139661e+00
0.000000000000000000e+00	2.250000000000000056e-01	-1.599505662788786697e+00	-3.603361503970824664e+00
0.000000000000000000e+00	2.500000000000000000e-01	-1.589435619128796606e+00	-3.581604306486174671e+00
0.000000000000000000e+00	2.750000000000000222e-01	-1.581781671440049220e+00	-3.559425950234906821e+00
0.000000000000000000e+00	2.999999999999999889e-01	-1.574672917583726628e+00	-3.537068952582695047e+00
0.000000000000000000e+00	3.250000000000000111e-01	-1.561942185767473124e+00	-3.514611468776347447e+00
0.000000000000000000e+00	3.500000000000000333e-01	-1.569246080289453227e+00	-3.492178542820570275e+00
0.000000000000000000e+00	3.750000000000000000e-01	-1.572457141155080729e+00	-3.469775283966338719e+00
0.000000000000000000e+00	4.000000000000000222e-01	-1.559023836848486999e+00	-3.447321002525439493e+00
0.000000000000000000e+00	4.249999999999999889e-01	-1.560129329289223987e+00	-3.424768627750920391e+00
0.000000000000000000e+00	4.500000000000000111e-01	-1.556223550038278836e+00	-3.402107444676662151e+00
0.000000000000000000e+00	4.750000000000000333e-01	-1.547768406912227501e+00	-3.379364425194378629e+00
0.000000000000000000e+00	5.000000000000000000e-01	-1.524224731995713400e+00	-3.356526022312008806e+00
0.000000000000000000e+00	5.250000000000000222e-01	-1.529354317512904071e+00	-3.333735555092394609e+00
0.000000000000000000e+00	5.500000000000000444e-01	-1.527678926973712992e+00	-3.310761047083515596e+00
0.000000000000000000e+00	5.750000000000000666e-01	-1.542332574669853740e+00	-3.287719727020356864e+00
0.000000000000000000e+00	5.999999999999999778e-01	-1.531934283934770713e+00	-3.264603789977648329e+00
0.000000000000000000e+00	6.250000000000000000e-01	-1.513581105647870295e+00	-3.241354508024657743e+00
0.000000000000000000e+00	6.500000000000000222e-01	-1.515204666664157429e+00	-3.217973725298333587e+00
0.000000000000000000e+00	6.750000000000000444e-01	-1.510097018903414634e+00	-3.194545971377651394e+00
0.000000000000000000e+00	7.000000000000000666e-01	-1.507663092458954912e+00	-3.171002699291518123e+00
0.000000000000000000e+00	7.249999999999999778e-01	-1.498440151769579787e+00	-3.147400319905501842e+00
0.000000000000000000e+00	7.500000000000000000e-01	-1.500591593599597706e+00	-3.123876430332392484e+00
