Track	Time	X	Y
0.000000000000000000e+00	0.000000000000000000e+00	-1.650346518200096257e+00	-3.641828326410394112e+00
0.000000000000000000e+00	2.500000000000000139e-02	-1.673852023387250698e+00	-3.708136389363884344e+00
0.000000000000000000e+00	5.000000000000000278e-02	-1.669466648574712719e+00	-3.728224846256392500e+00
0.000000000000000000e+00	7.499999999999999722e-02	-1.674184679889496818e+00	-3.739587563297738892e+00
0.000000000000000000e+00	1.000000000000000056e-01	-1.665207067549170583e+00	-3.747188393742193924e+00
0.000000000000000000e+00	1.250000000000000000e-01	-1.670195574995848364e+00	-3.752461332037718034e+00
0.000000000000000000e+00	1.499999999999999944e-01	-1.672632233845028571e+00	-3.756067760224450769e+00
0.000000000000000000e+00	1.750000000000000167e-01	-1.669639682797722902e+00	-3.758746375844710830e+00
0.000000000000000000e+00	2.000000000000000111e-01	-1.670344916122975754e+00	-3.760632437703220088e+00
0.000000000000000000e+00	2.250000000000000056e-01	-1.670454253750942142e+00	-3.762014012963370568e+00
0.000000000000000000e+00	2.500000000000000000e-01	-1.684645866556972127e+00	-3.763007945684942790e+00
0.000000000000000000e+00	2.750000000000000222e-01	-1.684056725005897093e+00	-3.763504577697262210e+00
0.000000000000000000e+00	2.999999999999999889e-01	-1.678741723093460481e+00	-3.763830674287856670e+00
0.000000000000000000e+00	3.250000000000000111e-01	-1.672781070845253515e+00	-3.763956179459166940e+00
0.000000000000000000e+00	3.500000000000000333e-01	-1.666602763903725526e+00	-3.763909296714444075e+00
0.000000000000000000e+00	3.750000000000000000e-01	-1.659514845894376256e+00	-3.763690182565731401e+00
0.000000000000000000e+00	4.000000000000000222e-01	-1.656399770088023304e+00	-3.763450658297978091e+00
0.000000000000000000e+00	4.249999999999999889e-01	-1.666516782434358079e+00	-3.763105508145478062e+00
0.000000000000000000e+00	4.500000000000000111e-01	-1.672681755690524019e+00	-3.762709188957320539e+00
0.000000000000000000e+00	4.750000000000000333e-01	-1.672098402082967006e+00	-3.762125092028660411e+00
0.000000000000000000e+00	5.000000000000000000e-01	-1.663476230154794955e+00	-3.761326799499080664e+00
0.000000000000000000e+00	5.250000000000000222e-01	-1.665326066099661162e+00	-3.760249238524237647e+00
0.000000000000000000e+00	5.500000000000000444e-01	-1.660194275014028609e+00	-3.758409749123580834e+00
0.000000000000000000e+00	5.750000000000000666e-01	-1.661806702140798286e+00	-3.755908284382580842e+00
0.000000000000000000e+00	5.999999999999999778e-01	-1.669276376233635117e+00	-3.752936249409000169e+00
0.000000000000000000e+00	6.250000000000000000e-01	-1.659149655563374237e+00	-3.749509096981656242e+00
0.000000000000000000e+00	6.500000000000000222e-01	-1.668731639174604320e+00	-3.745702484629259921e+00
0.000000000000000000e+00	6.750000000000000444e-01	-1.665986825250504344e+00	-3.741565536890236299e+00
0.000000000000000000e+00	7.000000000000000666e-01	-1.666842368570820021e+00	-3.737173980190945599e+00
0.000000000000000000e+00	7.249999999999999778e-01	-1.668155949904245983e+00	-3.732620805488127580e+00
0.000000000000000000e+00	7.500000000000000000e-01	-1.663781823704010066e+00	-3.727911713431833363e+00
0.000000000000000000e+00	7.750000000000000222e-01	-1.661832336204818628e+00	-3.723072574987161154e+00
0.000000000000000000e+00	8.000000000000000444e-01	-1.644938933887132970e+00	-3.718052208956484694e+00
0.000000000000000000e+00	8.250000000000000666e-01	-1.645096934603643701e+00	-3.713069554279515128e+00
0.000000000000000000e+00	8.499999999999999778e-01	-1.651380576264595446e+00	-3.708063673040308039e+00
0.000000000000000000e+00	8.750000000000000000e-01	-1.657336833713827673e+00	-3.703056098835576737e+00
0.000000000000000000e+00	9.000000000000000222e-01	-1.661733498553063404e+00	-3.698117783527679947e+00
0.000000000000000000e+00	9.250000000000000444e-01	-1.663619177758578704e+00	-3.693257006086918093e+00
0.000000000000000000e+00	9.500000000000000666e-01	-1.661890194091638850e+00	-3.688464003586975792e+00
0.000000000000000000e+00	9.749999999999999778e-01	-1.670124589748963384e+00	-3.683634880635939801e+00
0.000000000000000000e+00	1.000000000000000000e+00	-1.674278800615551566e+00	-3.678914447159500334e+00
0.000000000000000000e+00	1.024999999999999911e+00	-1.669570214080630111e+00	-3.674294572142061455e+00
0.000000000000000000e+00	1.050000000000000044e+00	-1.654950540879198462e+00	-3.669733599456868944e+00
0.000000000000000000e+00	1.074999999999999956e+00	-1.658492307674785282e+00	-3.665158966157680442e+00
0.000000000000000000e+00	1.100000000000000089e+00	-1.655769458985557385e+00	-3.660632957271742871e+00
0.000000000000000000e+00	1.125000000000000000e+00	-1.658995797269779304e+00	-3.656126456717070372e+00
0.000000000000000000e+00	1.150000000000000133e+00	-1.647610532296880592e+00	-3.651738309150868833e+00
0.000000000000000000e+00	1.175000000000000044e+00	-1.635198869155844337e+00	-3.647451548683198652e+00
0.000000000000000000e+00	1.199999999999999956e+00	-1.636758956342989402e+00	-3.643118051322640216e+00
0.000000000000000000e+00	1.225000000000000089e+00	-1.628246299450446299e+00	-3.638909054341236349e+00
0.000000000000000000e+00	1.250000000000000000e+00	-1.639427283324421891e+00	-3.634904784486312046e+00
0.000000000000000000e+00	1.275000000000000133e+00	-1.641294839393190763e+00	-3.630939330307505042e+00
0.000000000000000000e+00	1.300000000000000044e+00	-1.634839144358829266e+00	-3.627014413957152072e+00
0.000000000000000000e+00	1.324999999999999956e+00	-1.643129929609778106e+00	-3.623203887710237936e+00
0.000000000000000000e+00	1.350000000000000089e+00	-1.640650432076340426e+00	-3.619424553947594880e+00
0.000000000000000000e+00	1.375000000000000000e+00	-1.646048631546461305e+00	-3.615674231523542392e+00
0.000000000000000000e+00	1.400000000000000133e+00	-1.648984395218453525e+00	-3.611774362124339000e+00
0.000000000000000000e+00	1.425000000000000044e+00	-1.646215307520509930e+00	-3.607671259926520158e+00
0.000000000000000000e+00	1.449999999999999956e+00	-1.645178893929477804e+00	-3.603411530427756748e+00
0.000000000000000000e+00	1.475000000000000089e+00	-1.637360549265067799e+00	-3.599032063148762450e+00
0.000000000000000000e+00	1.500000000000000000e+00	-1.633324584201649943e+00	-3.594584518694936115e+00
0.000000000000000000e+00	1.525000000000000133e+00	-1.633902178277575556e+00	-3.590092424484264022e+00
0.000000000000000000e+00	1.550000000000000044e+00	-1.638669984797574752e+00	-3.585707546942895618e+00
0.000000000000000000e+00	1.574999999999999956e+00	-1.643296392601653721e+00	-3.581486066405148438e+00
0.000000000000000000e+00	1.600000000000000089e+00	-1.635706167055110516e+00	-3.577279705151233280e+00
0.000000000000000000e+00	1.625000000000000000e+00	-1.647870489931897220e+00	-3.573122236773564442e+00
0.000000000000000000e+00	1.650000000000000133e+00	-1.636427604889149290e+00	-3.569008126881425991e+00
0.000000000000000000e+00	1.675000000000000044e+00	-1.620652066940110769e+00	-3.564845040797563147e+00
0.000000000000000000e+00	1.699999999999999956e+00	-1.616427352758190272e+00	-3.560520352762386764e+00
0.000000000000000000e+00	1.725000000000000089e+00	-1.621028946915429536e+00	-3.556398463243649832e+00
