Track	Time	X	Y
0.000000000000000000e+00	0.000000000000000000e+00	-1.661356303493581654e+00	-3.759640819144333790e+00
0.000000000000000000e+00	2.500000000000000139e-02	-1.659026319640278357e+00	-3.743391617841863361e+00
0.000000000000000000e+00	5.000000000000000278e-02	-1.658908229903941933e+00	-3.724757529834722636e+00
0.000000000000000000e+00	7.499999999999999722e-02	-1.638980815942322478e+00	-3.704832425116046046e+00
0.000000000000000000e+00	1.000000000000000056e-01	-1.624674135324531976e+00	-3.684176912176559959e+00
0.000000000000000000e+00	1.250000000000000000e-01	-1.618909566762117169e+00	-3.663029597171287843e+00
0.000000000000000000e+00	1.499999999999999944e-01	-1.607666215383904307e+00	-3.641699410507885037e+00
0.000000000000000000e+00	1.750000000000000167e-01	-1.597596280502385779e+00	-3.620164000215669198e+00
0.000000000000000000e+00	2.000000000000000111e-01	-1.601768482041131758e+00	-3.598486857989153798e+00
0.000000000000000000e+00	2.250000000000000056e-01	-1.600423594675742134e+00	-3.576665690115261143e+00
0.000000000000000000e+00	2.500000000000000000e-01	-1.606136675775662326e+00	-3.554701515752653584e+00
0.000000000000000000e+00	2.750000000000000222e-01	-1.600989069490248662e+00	-3.532658713627676583e+00
0.000000000000000000e+00	2.999999999999999889e-01	-1.603356585375707688e+00	-3.510661520375188527e+00
0.000000000000000000e+00	3.250000000000000111e-01	-1.598962124220665082e+00	-3.488576463291308993e+00
0.000000000000000000e+00	3.500000000000000333e-01	-1.594929497748841518e+00	-3.466406756142016210e+00
0.000000000000000000e+00	3.750000000000000000e-01	-1.580159707174643380e+00	-3.444151034991565830e+00
0.000000000000000000e+00	4.000000000000000222e-01	-1.570430280212854246e+00	-3.421957449801012796e+00
0.000000000000000000e+00	4.249999999999999889e-01	-1.557045304992191070e+00	-3.399713811727600454e+00
0.000000000000000000e+00	4.500000000000000111e-01	-1.561009079313331327e+00	-3.377349992437788107e+00
0.000000000000000000e+00	4.750000000000000333e-01	-1.556908536346171879e+00	-3.355010248604522793e+00
0.000000000000000000e+00	5.000000000000000000e-01	-1.551667417461839449e+00	-3.332647864823292672e+00
0.000000000000000000e+00	5.250000000000000222e-01	-1.544521782155255707e+00	-3.310302783627317336e+00
0.000000000000000000e+00	5.500000000000000444e-01	-1.540433560437660443e+00	-3.287962896220046893e+00
0.000000000000000000e+00	5.750000000000000666e-01	-1.541546124518049732e+00	-3.265540287067143055e+00
0.000000000000000000e+00	5.999999999999999778e-01	-1.542317095667460780e+00	-3.242847876269326246e+00
0.000000000000000000e+00	6.250000000000000000e-01	-1.537169547103641065e+00	-3.220083228108735263e+00
0.000000000000000000e+00	6.500000000000000222e-01	-1.539421146467644608e+00	-3.197511364778576226e+00
0.000000000000000000e+00	6.750000000000000444e-01	-1.535770176878318072e+00	-3.175007944369188095e+00
0.000000000000000000e+00	7.000000000000000666e-01	-1.537955616000993508e+00	-3.152316801050003559e+00
0.000000000000000000e+00	7.249999999999999778e-01	-1.533021966034741279e+00	-3.129451406197260255e+00
0.000000000000000000e+00	7.500000000000000000e-01	-1.545213743874328083e+00	-3.106254201601344800e+00
0.000000000000000000e+00	7.750000000000000222e-01	-1.537491285569281718e+00	-3.082935054590612012e+00
0.000000000000000000e+00	8.000000000000000444e-01	-1.542911616630177729e+00	-3.059535966200000345e+00
0.000000000000000000e+00	8.250000000000000666e-01	-1.544698329522906644e+00	-3.036089361501645989e+00
0.000000000000000000e+00	8.499999999999999778e-01	-1.546816036102597103e+00	-3.012597385706875297e+00
0.000000000000000000e+00	8.750000000000000000e-01	-1.544065722056217060e+00	-2.988781686014339023e+00
0.000000000000000000e+00	9.000000000000000222e-01	-1.548086230622095050e+00	-2.964871920414922535e+00
0.000000000000000000e+00	9.250000000000000444e-01	-1.541783327391109237e+00	-2.941207779861354954e+00
0.000000000000000000e+00	9.500000000000000666e-01	-1.532605054987485005e+00	-2.917623643875943973e+00
0.000000000000000000e+00	9.749999999999999778e-01	-1.538676563441166545e+00	-2.893952028379007224e+00
0.000000000000000000e+00	1.000000000000000000e+00	-1.536341916515285622e+00	-2.870040282942088794e+00
0.000000000000000000e+00	1.024999999999999911e+00	-1.540128032569713978e+00	-2.846125351657895042e+00
0.000000000000000000e+00	1.050000000000000044e+00	-1.534331538735196565e+00	-2.822216731616599361e+00
0.000000000000000000e+00	1.074999999999999956e+00	-1.524670120737837031e+00	-2.798543275689429510e+00
0.000000000000000000e+00	1.100000000000000089e+00	-1.514565247733213882e+00	-2.774896678174827436e+00
0.000000000000000000e+00	1.125000000000000000e+00	-1.505345899594373593e+00	-2.751508121985910993e+00
0.000000000000000000e+00	1.150000000000000133e+00	-1.495831700511097706e+00	-2.728088976796126275e+00
0.000000000000000000e+00	1.175000000000000044e+00	-1.498311879504016009e+00	-2.704120575322902287e+00
0.000000000000000000e+00	1.199999999999999956e+00	-1.503475757641373756e+00	-2.679956655098230556e+00
0.000000000000000000e+00	1.225000000000000089e+00	-1.497925449537071074e+00	-2.655778685561179575e+00
0.000000000000000000e+00	1.250000000000000000e+00	-1.495012887354133957e+00	-2.631311411012271950e+00
0.000000000000000000e+00	1.275000000000000133e+00	-1.486772221058812349e+00	-2.607104559291631318e+00
0.000000000000000000e+00	1.300000000000000044e+00	-1.479858240652939916e+00	-2.582894666542389750e+00
0.000000000000000000e+00	1.324999999999999956e+00	-1.476519794852703793e+00	-2.558630393017565119e+00
0.000000000000000000e+00	1.350000000000000089e+00	-1.465317186123763049e+00	-2.534665495715958006e+00
0.000000000000000000e+00	1.375000000000000000e+00	-1.466235667596851089e+00	-2.510805769484765637e+00
0.000000000000000000e+00	1.400000000000000133e+00	-1.450602448668124156e+00	-2.487027258195579904e+00
0.000000000000000000e+00	1.425000000000000044e+00	-1.454150599172756575e+00	-2.463424423526638041e+00
0.000000000000000000e+00	1.449999999999999956e+00	-1.456738143327326096e+00	-2.439691139785450158e+00
0.000000000000000000e+00	1.475000000000000089e+00	-1.446593683279738585e+00	-2.416136969099338394e+00
0.000000000000000000e+00	1.500000000000000000e+00	-1.440730449881463926e+00	-2.392707433081135537e+00
0.000000000000000000e+00	1.525000000000000133e+00	-1.429724645373487535e+00	-2.369405508055942633e+00
0.000000000000000000e+00	1.550000000000000044e+00	-1.431897994894179682e+00	-2.345972865193776791e+00
0.000000000000000000e+00	1.574999999999999956e+00	-1.430857076137087569e+00	-2.322224466475378168e+00
0.000000000000000000e+00	1.600000000000000089e+00	-1.416884163394137142e+00	-2.298004228107782154e+00
0.000000000000000000e+00	1.625000000000000000e+00	-1.410320505057594431e+00	-2.272650123417014445e+00
0.000000000000000000e+00	1.650000000000000133e+00	-1.414101303903024798e+00	-2.246456307740547054e+00
0.000000000000000000e+00	1.675000000000000044e+00	-1.410203519756193291e+00	-2.219695249919727775e+00
0.000000000000000000e+00	1.699999999999999956e+00	-1.411102570107766185e+00	-2.192690353363174083e+00
0.000000000000000000e+00	1.725000000000000089e+00	-1.404258151738431382e+00	-2.165471686820175545e+00
0.000000000000000000e+00	1.750000000000000000e+00	-1.400972288185100334e+00	-2.138239236020285983e+00
0.000000000000000000e+00	1.775000000000000133e+00	-1.408380572644784667e+00	-2.110957249545597048e+00
0.000000000000000000e+00	1.800000000000000044e+00	-1.399322095048169290e+00	-2.083845899890585329e+00
0.000000000000000000e+00	1.824999999999999956e+00	-1.406154581310304463e+00	-2.056977744526645502e+00
0.000000000000000000e+00	1.850000000000000089e+00	-1.395077870091460115e+00	-2.030170083159778649e+00
