Track	Time	X	Y
0.000000000000000000e+00	0.000000000000000000e+00	-1.650761743020567662e+00	-3.646254809113300688e+00
0.000000000000000000e+00	2.500000000000000139e-02	-1.663705319790060200e+00	-3.692185455972677222e+00
0.000000000000000000e+00	5.000000000000000278e-02	-1.659663127928848292e+00	-3.715495042776696621e+00
0.000000000000000000e+00	7.499999999999999722e-02	-1.661276494670551385e+00	-3.731731330024155024e+00
0.000000000000000000e+00	1.000000000000000056e-01	-1.656323904591481044e+00	-3.744153287378519490e+00
0.000000000000000000e+00	1.250000000000000000e-01	-1.663010165217679415e+00	-3.754122319188824441e+00
0.000000000000000000e+00	1.499999999999999944e-01	-1.670590017172351782e+00	-3.762564589113368552e+00
0.000000000000000000e+00	1.750000000000000167e-01	-1.672686691893045197e+00	-3.769835799761592110e+00
0.000000000000000000e+00	2.000000000000000111e-01	-1.682549199673503137e+00	-3.776229899832827641e+00
0.000000000000000000e+00	2.250000000000000056e-01	-1.699420009351964467e+00	-3.781757518031431342e+00
0.000000000000000000e+00	2.500000000000000000e-01	-1.691103992433954373e+00	-3.786729923560363087e+00
0.000000000000000000e+00	2.750000000000000222e-01	-1.685050930835301219e+00	-3.791422333126540867e+00
0.000000000000000000e+00	2.999999999999999889e-01	-1.683225935704639964e+00	-3.795878360624205250e+00
0.000000000000000000e+00	3.250000000000000111e-01	-1.687984394991717041e+00	-3.800391325318329905e+00
0.000000000000000000e+00	3.500000000000000333e-01	-1.680867485826143204e+00	-3.804546619936123530e+00
0.000000000000000000e+00	3.750000000000000000e-01	-1.679530963564547896e+00	-3.808189474136657537e+00
0.000000000000000000e+00	4.000000000000000222e-01	-1.685335133651385098e+00	-3.811240759553127244e+00
0.000000000000000000e+00	4.249999999999999889e-01	-1.677255065106545873e+00	-3.814182130282979255e+00
0.000000000000000000e+00	4.500000000000000111e-01	-1.692914149493910836e+00	-3.816744549881726289e+00
0.000000000000000000e+00	4.750000000000000333e-01	-1.696260124844237938e+00	-3.819177913094338184e+00
0.000000000000000000e+00	5.000000000000000000e-01	-1.692721068053283373e+00	-3.821663705897138996e+00
0.000000000000000000e+00	5.250000000000000222e-01	-1.691875130115043424e+00	-3.824117469340034603e+00
0.000000000000000000e+00	5.500000000000000444e-01	-1.681616491841769312e+00	-3.826614956224374087e+00
0.000000000000000000e+00	5.750000000000000666e-01	-1.665106476671431412e+00	-3.828795529743552972e+00
0.000000000000000000e+00	5.999999999999999778e-01	-1.664925520517996027e+00	-3.830768900684017542e+00
0.000000000000000000e+00	6.250000000000000000e-01	-1.667414806989208742e+00	-3.832642397531325518e+00
0.000000000000000000e+00	6.500000000000000222e-01	-1.668556248990637592e+00	-3.834555612720775830e+00
0.000000000000000000e+00	6.750000000000000444e-01	-1.665275836353475647e+00	-3.836436333350820682e+00
0.000000000000000000e+00	7.000000000000000666e-01	-1.672891515040480614e+00	-3.838177355230793619e+00
0.000000000000000000e+00	7.249999999999999778e-01	-1.661762383708526025e+00	-3.839806603721934941e+00
0.000000000000000000e+00	7.500000000000000000e-01	-1.659275507687981488e+00	-3.841351723031494636e+00
0.000000000000000000e+00	7.750000000000000222e-01	-1.655221418055896176e+00	-3.842914476785304512e+00
0.000000000000000000e+00	8.000000000000000444e-01	-1.652885107706532741e+00	-3.844276705697286189e+00
0.000000000000000000e+00	8.250000000000000666e-01	-1.655577759298340945e+00	-3.845553752031899197e+00
0.000000000000000000e+00	8.499999999999999778e-01	-1.662070950460458940e+00	-3.846769500512906337e+00
0.000000000000000000e+00	8.750000000000000000e-01	-1.657859491857436973e+00	-3.848003587422270222e+00
0.000000000000000000e+00	9.000000000000000222e-01	-1.665326222339587492e+00	-3.849228620333710715e+00
0.000000000000000000e+00	9.250000000000000444e-01	-1.670496058017907126e+00	-3.850529335000083098e+00
0.000000000000000000e+00	9.500000000000000666e-01	-1.679845019354270663e+00	-3.851849433350290397e+00
0.000000000000000000e+00	9.749999999999999778e-01	-1.667203077065796624e+00	-3.853180589118948340e+00
0.000000000000000000e+00	1.000000000000000000e+00	-1.669864784284961656e+00	-3.854373234983098140e+00
0.000000000000000000e+00	1.024999999999999911e+00	-1.666580902748604709e+00	-3.855575931916126908e+00
0.000000000000000000e+00	1.050000000000000044e+00	-1.658625026803515201e+00	-3.856574750153588305e+00
0.000000000000000000e+00	1.074999999999999956e+00	-1.660746393052075609e+00	-3.857451784484097423e+00
0.000000000000000000e+00	1.100000000000000089e+00	-1.666133929880187825e+00	-3.858406857004388346e+00
0.000000000000000000e+00	1.125000000000000000e+00	-1.665331978290628179e+00	-3.859398814385086585e+00
0.000000000000000000e+00	1.150000000000000133e+00	-1.649987786849146376e+00	-3.860176531038852499e+00
0.000000000000000000e+00	1.175000000000000044e+00	-1.650485724575756485e+00	-3.860715160513014332e+00
0.000000000000000000e+00	1.199999999999999956e+00	-1.653112497956234606e+00	-3.861371445763353893e+00
0.000000000000000000e+00	1.225000000000000089e+00	-1.662471360164322842e+00	-3.862032988826549218e+00
